Lepirudin,Hirudin variant-1 | Lepirudin recombinant|Refludan 50 mg vial
Doxycycline,5-hydroxy-a-6-deoxytetracycline | 6-alpha-deoxy-5-oxytetracycline | 6alpha-deoxy-5-oxytetracycline | 6a-deoxy-5-oxytetracycline | Anhydrous doxycycline | Doxiciclina | Doxycyclin | Doxycycline | Doxycycline (anhydrous) | Doxycycline anhydrous | Doxycyclinum|Vibramycin 25 mg 5ml Suspension 60ml Bottle|Adoxa pak 1-150 mg tablet|Doryx 150 mg Enteric Coated Tabs|Doryx dr 150 mg tablet|Doxycycline hyc 100 mg vial|Adoxa 100 mg tablet|Monodox 100 mg capsule|Adoxa 75 mg tablet|Oracea 40 mg Delayed Release Capsule|Oracea 40 mg capsule|Avidoxy 100 mg tablet|Monodox 75 mg capsule|Doryx 100 mg Enteric Coated Tabs|Doryx dr 100 mg tablet|Adoxa pak 1-100 mg tablet|Doxycycline Monohydrate 150 mg tablet|Adoxa 50 mg tablet|Doxycycline mono 150 mg tablet|Doryx 75 mg Enteric Coated Tabs|Doryx dr 75 mg tablet|Vibramycin 100 mg capsule|Vibra-tabs 100 mg tablet|Monodox 50 mg capsule|Doxycycline mono 100 mg tablet|Periostat 20 mg tablet|Doxycycline mono 75 mg tablet|Doxycycline Monohydrate 100 mg tablet|Doxycycline mono 50 mg tablet|Doxycycline Monohydrate 50 mg tablet|Doxycycline hyclate powder|Vibramycin 50 mg capsule|Doxycycline Monohydrate 100 mg capsule|Vibramycin 100 mg Capsule|Doxycycline Monohydrate 50 mg capsule|Doxycycline hyclate 100 mg tablet|Doxycycline hyclate 20 mg tablet|Doxycycline Hyclate 100 mg capsule|Doxycycline Hyclate 50 mg capsule|Vibramycin 50 mg 5ml Syrup|Vibramycin 50 mg 5 ml syrup|Apo-Doxy 100 mg Capsule|Apo-Doxy 100 mg Tablet|Doxycin 100 mg Capsule|Doxycin 100 mg Tablet|Novo-Doxylin 100 mg Capsule|Novo-Doxylin 100 mg Tablet|Nu-Doxycycline 100 mg Capsule|Pms-Doxycycline 100 mg Capsule|Pms-Doxycycline 100 mg Tablet
Diethylstilbestrol,"(E)-3,4-bis(4-hydroxyphenyl)-3-hexene | (E)-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol | 4,4'-dihydroxy-a,b-diethylstilbene | DES | Diethylstilbestrol | Diethylstilbestrol | Diethylstilbestrolum | Dietilestilbestrol | Stilboestrol | trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol | trans-Diethylstilbesterol | trans-Diethylstilbestrol | trans-Diethylstilboesterol | a,a'-diethyl-(E)-4,4'-stilbenediol|Diethylstilbestrol powder"
Lymecycline,"(+)-N-(5-Amino-5-carboxypentylaminomethyl)-4-dimethylamino-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxonaphthacene-2-carboxamide | Limeciclina | Lymecycline | Lymecyclinum | N-Lysinomethyltetracycline | N2-(((+)-5-Amino-5-carboxypentylamino)methyl)tetracycline | N6-((4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamido)methyl)lysine | Tetracycline-L-methylene lysine | Tetracycline-L-methylenelysine"
Clotrimazole,"1-((2-Chlorophenyl)diphenylmethyl)-1H-imidazole | 1-(o-Chloro-a,a-diphenylbenzyl)imidazole | 1-(o-Chlorotrityl)imidazole | 1-(a-(2-Chlorophenyl)benzhydryl)imidazole | Clotrimazol | Clotrimazole | Clotrimazolum|Clotrimazole 70 10 mg Troche Bottle|Clotrimazole 1% Cream 45 gm Tube|Clotrimazole 1% Cream 30 gm Tube|Clotrimazole 1% Solution 30ml Bottle|Clotrimazole 1% Cream 15 gm Tube|Clotrimazole 1% Solution 10ml Bottle|Clotrimazole powder|Mycelex 10 mg troche|Clotrimazole 10 mg troche|Mycelex-7 100 mg vaginal tablet|Lotrimin 1% cream|Gyne-lotrimin insert|Mycelex 1% cream|Clotrimazole insert|Lotrimin ultra 1% cream|Clotrimazole 1% cream|Clotrimazole 3 2% cream|Ra clotrimazole 3 cream|Ra athletes 1% foot cream|Desenex 1% cream|CVS Pharmacy clotrimazole 1% cream|Antifungal 1% cream|Sm antifungal 1% cream|Ra clotrimazole af cream|Clotrim 1% vaginal cream|Lotrimin af 2% spray powder|Lotrimin af 2% liquid spray"
Calcium acetate,Acetate of lime | Brown acetate of lime | Calcio acetato | Calcium acetate | calcium ethanoate | calcium(II) acetate | Gray acetate of lime | Lime acetate | Lime pyrolignite|PhosLo 667 mg capsule|Phoslo 667 mg tablet
Sulfanilamide,4-aminobenzene sulfonic acid amide | 4-azanylbenzenesulfonamide | p-aminobenzenesulfamide | p-aminobenzenesulfonamide | para-aminobenzenesulfonamide | Prontosil album | SA | Streptocide | Sulfamine | Sulfanilamida | Sulfanilamide | Sulfanilamidum | Sulphanilamide|AVC Vaginal 15% Cream 120 gm Tube|Avc 15% cream|Sodium sulfanilamide powder
Cycloserine,(+)-4-amino-3-isoxazolidinone | (+)-cycloserine | alpha-Cycloserine | Cicloserina | cyclo-D-Serine | Cycloserine | Cycloserine | Cycloserinum | D-(+)-cycloserine | D-4-amino-3-isoxazolidinone | D-4-amino-3-isoxazolidone | D-Cycloserine | DCS | Orientomycin | a-Cycloserine|Seromycin 250 mg capsule|Seromycin 250 mg pulvule
Anagrelide,Anagrelida | Anagrelide | Anagrelidum|Agrylin 1 mg capsule|Anagrelide hcl 1 mg capsule|Agrylin 0.5 mg capsule|Anagrelide hcl 0.5 mg capsule
Carmustine,"BCNU | bis-chloroethylnitrosourea | Bischloroethyl nitrosourea | Carmustina | Carmustine | Carmustinum | N,N'-Bis(2-chloroethyl)-N-nitrosourea|Gliadel Wafer 8 7.7 mg Wafers Box|Gliadel wafer|Bicnu 100 mg vial"
Sulfisoxazole,"3,4-Dimethyl-5-sulfanilamidoisoxazole | 3,4-Dimethyl-5-sulfonamidoisoxazole | 3,4-Dimethyl-5-sulphanilamidoisoxazole | 3,4-Dimethyl-5-sulphonamidoisoxazole | 3,4-Dimethylisoxazole-5-sulfanilamide | 3,4-Dimethylisoxazole-5-sulphanilamide | 4-Amino-N-(3,4-dimethyl-5-isoxazolyl)benzenesulfonamide | 4-Amino-N-(3,4-dimethyl-5-isoxazolyl)benzenesulphonamide | 5-(4-Aminophenylsulfonamido)-3,4-dimethylisoxazole | 5-(p-Aminobenzenesulfonamido)-3,4-dimethylisoxazole | 5-(p-Aminobenzenesulphonamido)-3,4-dimethylisoxazole | 5-Sulfanilamido-3,4-dimethylisoxazole | 5-Sulphanilamido-3,4-dimethyl-isoxazole | N'-(3,4)Dimethylisoxazol-5-yl-sulphanilamide | N1-(3,4-dimethyl-5-isoxazolyl)sulfanilamide | N1-(3,4-dimethyl-5-isoxazolyl)sulphanilamide | Sulfadimethylisoxazole | Sulfafurazol | Sulfafurazole | Sulfafurazolum | Sulfaisoxazole | Sulfasoxazole | Sulfisonazole | Sulfisoxasole | Sulfisoxazol | Sulfisoxazole | Sulfofurazole | Sulphadimethylisoxazole | Sulphafurazol | Sulphafurazole | Sulphaisoxazole | Sulphisoxazol | Sulphofurazole|Sulfisoxazole crystals|Sulfazine EC 500 mg Enteric Coated Tabs|Sulfazine ec 500 mg tablet|Sulfazine 500 mg tablet"
Metoprolol,(RS)-Metoprolol | 1-(isopropylamino)-3-[4-(2-methoxyethyl)phenoxy]propan-2-ol | DL-metoprolol | Metoprolol|Metoprolol tartrate powder|Lopressor 5 mg 5 ml ampul|Lopressor hct 100-25 tablet|Toprol XL 200 mg 24 Hour tablet|Lopressor HCT 100-50 mg tablet|Toprol xl 200 mg tablet|Lopressor hct 100-50 tablet|Lopressor 100 mg tablet|Metoprolol Succinate 200 mg 24 Hour tablet|Metoprolol succ er 200 mg tablet|Lopressor HCT 100-25 mg tablet|Lopressor HCT 50-25 mg tablet|Lopressor hct 50-25 tablet|Toprol XL 100 mg 24 Hour tablet|Toprol xl 100 mg tablet|Lopressor 50 mg tablet|Metoprolol Succinate 100 mg 24 Hour tablet|Metoprolol succ er 100 mg tablet|Toprol XL 25 mg 24 Hour tablet|Toprol XL 50 mg 24 Hour tablet|Lopresor 1 mg ml|Toprol xl 25 mg tablet|Toprol xl 50 mg tablet|Metoprolol Succinate 25 mg 24 Hour tablet|Metoprolol Succinate 50 mg 24 Hour tablet|Metoprolol succ er 50 mg tablet|Metoprolol succ er 25 mg tablet|Metoprolol tartrate 100 mg tablet|Toprol xl 100 mg tablet sa|Lopresor 100 mg Tablet|Lopresor Sr 200 mg Sustained-Release Tablet|Metoprolol tartrate 50 mg tablet|Metoprolol tartrate 25 mg tablet|Apo-Metoprolol Sr 200 mg Sustained-Release Tablet|Lopresor Sr 100 mg Sustained-Release Tablet|Sandoz Metoprolol Sr 200 mg Sustained-Release Tablet|Lopresor 50 mg Tablet|Apo-Metoprolol (Type L) 100 mg Tablet|Apo-Metoprolol 100 mg Tablet|Mylan-Metoprolol (Type L) 100 mg Tablet|Novo-Metoprol (Fc) 100 mg Tablet|Novo-Metoprol 100 mg Tablet|Nu-Metop 100 mg Tablet|Pms-Metoprolol-L 100 mg Tablet|Sandoz Metoprolol (Type L) 100 mg Tablet|Apo-Metoprolol Sr 100 mg Sustained-Release Tablet|Sandoz Metoprolol Sr 100 mg Sustained-Release Tablet|Apo-Metoprolol (Type L) 50 mg Tablet|Apo-Metoprolol 50 mg Tablet|Mylan-Metoprolol (Type L) 50 mg Tablet|Novo-Metoprol (Fc) 50 mg Tablet|Novo-Metoprol 50 mg Tablet|Nu-Metop 50 mg Tablet|Pms-Metoprolol-L 50 mg Tablet|Sandoz Metoprolol (Type L) 50 mg Tablet|Apo-Metoprolol 25 mg Tablet|Pms-Metoprolol-L 25 mg Tablet
Crotamiton,Crotamiton|Eurax 10% Lotion 454 gm Bottle|Eurax 10% Lotion 60 gm Bottle|Eurax 10% Cream 60 gm Tube|Eurax 10% cream
Dicoumarol,"3,3'-methylen-bis(4-hydroxy-cumarin) | 3,3'-methylene-bis(4-hydroxycoumarine) | 3,3'-methylenebis(4-hydroxy-1,2-benzopyrone) | 3,3'-methylenebis(4-hydroxy-2H-1-benzopyran-2-one) | 3,3'-methylenebis(4-hydroxycoumarin) | bis-3,3'-(4-hydroxycoumarinyl)methane | bis-hydroxycoumarin | bis(4-hydroxycoumarin-3-yl)methane | di-(4-hydroxy-3-coumarinyl)methane | Dicoumarol | Dicoumarolum | Dicumarol"
Cefmenoxime,"(6R,7R)-7-((Z)-2-(2-Amino-4-thiazolyl)-2-methoxyiminoacetamido)-3-((1-methyl-1H-5-tetraazolylthio)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-en-2-carbonsaeure | (6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefmenoxima | Cefmenoxime | Cefmenoximum | CMX"
Ropinirole,Ropinirol | Ropinirole | Ropinirolum|Requip XL 12 mg 24 Hour tablet|Requip xl 12 mg tablet|Requip XL 8 mg 24 Hour tablet|Requip xl 6 mg tablet|Requip xl 8 mg tablet|Requip XL 4 mg 24 Hour tablet|Requip xl 4 mg tablet|Requip 5 mg Tablet|Requip 3 mg tablet|Requip 4 mg tablet|Requip 5 mg tablet|Requip 0.25 mg tablet|Requip 0.5 mg tablet|Requip 1 mg tablet|Requip 2 mg tablet|Requip xl 2 mg tablet|Ropinirole hcl 3 mg tablet|Ropinirole hcl 4 mg tablet|Ropinirole hcl 5 mg tablet|Ropinirole hcl 0.25 mg tablet|Ropinirole hcl 0.5 mg tablet|Ropinirole hcl 1 mg tablet|Ropinirole hcl 2 mg tablet|Co Ropinirole 5 mg Tablet|Pms-Ropinirole 5 mg Tablet|Ran-Ropinirole 5 mg Tablet|Ropinirole 5 mg Tablet|Requip 2 mg Tablet|Requip 1 mg Tablet|Co Ropinirole 2 mg Tablet|Pms-Ropinirole 2 mg Tablet|Ran-Ropinirole 2 mg Tablet|Ropinirole 2 mg Tablet|Co Ropinirole 1 mg Tablet|Pms-Ropinirole 1 mg Tablet|Ran-Ropinirole 1 mg Tablet|Ropinirole 1 mg Tablet|Requip 0.25 mg Tablet|Co Ropinirole 0.25 mg Tablet|Pms-Ropinirole 0.25 mg Tablet|Ran-Ropinirole 0.25 mg Tablet|Ropinirole 0.25 mg Tablet
Chlorotrianisene,Chloortrianisestrol | Chlorestrolo | Chlorotrianisene | Chlorotrianisenum | Chlorotrianisine | Chlorotrianizen | Chlortrianisen | Chlortrianisestrol | Chlortrianisoestrolum | Chlortrianizen | Clorotrianiseno
Isradipine,Isradipine | Isradipino | Isradipinum|DynaCirc CR 10 mg 24 Hour tablet|Dynacirc cr 10 mg tablet|DynaCirc CR 5 mg 24 Hour tablet|Dynacirc cr 5 mg tablet|DynaCirc 5 mg capsule|Isradipine 5 mg capsule|DynaCirc 2.5 mg capsule|Isradipine 2.5 mg capsule
Diatrizoate,"2,4,6-Triiodo-3,5-diacetamidobenzoic acid | 3,5-Bis(acetylamino)-2,4,6-triiodobenzoic acid | 3,5-diacetamido-2,4,6-triiodobenzoic acid | Acide amidotrizoique | Acidum amidotrizoicum | Acidum diacetylaminotrijodbenzoicum | Amidotrizoate | Amidotrizoic Acid | Amidotrizoic acid (anhydrous) | Diatrizoesaure | Diatrizoic acid | Diatrizoic acid (anhydrous) | Methalamic acid | Triombrin | Urografin acid | Urogranoic acid|Gastrografin 66-10 solution|Hypaque sodium oral powder|Conray 60% vial|Cystografin 30% infus. btl|Conray-43 vial|Conray-30 infusion bottle|Hypaque 41.66% liquid|Cystografin-dilute 18% btl|Cysto-conray 17.2% vial"
Betazole,1H-pyrazole-3-ethanamine | 2-(1H-pyrazol-5-yl)ethanamine | 2-(3-pyrazolyl)ethylamine | 3-(2-aminoethyl)pyrazole | 3-(beta-aminoethyl)pyrazole | 3-(b-aminoethyl)pyrazole | Ametazole | Betazol | Betazole | Betazolum
Topiramate,"2,3:4,5-bis-O-(1-methylethylidene)-b-D-fructopyranose sulfamate | 2,3:4,5-di-O-isopropylidene-b-D-fructopyranose sulfamate | Tipiramate | Tipiramato | Topiramate | Topiramato | Topiramatum | TPM|Topiramate 200 mg tablet|Topamax 200 mg tablet|Topiramate 100 mg tablet|Topamax 100 mg tablet|Topamax 50 mg tablet|Topiramate 50 mg tablet|Topiramate 25 mg Sprinkle Capsule|Topiramate 25 mg tablet|Topiramate 99.7% powder|Topiramate 15 mg Sprinkle Capsule|Topamax 25 mg tablet|Co Topiramate 200 mg Tablet|Mylan-Topiramate 200 mg Tablet|Novo-Topiramate 200 mg Tablet|Phl-Topiramate 200 mg Tablet|Pms-Topiramate 200 mg Tablet|Ratio-Topiramate 200 mg Tablet|Sandoz Topiramate 200 mg Tablet|Topamax Sprinkle 25 mg Capsule|Sandoz Topiramate 100 mg Tablet|Co Topiramate 100 mg Tablet|Mylan-Topiramate 100 mg Tablet|Novo-Topiramate 100 mg Tablet|Phl-Topiramate 100 mg Tablet|Pms-Topiramate 100 mg Tablet|Ratio-Topiramate 100 mg Tablet|Topamax Sprinkle 15 mg Capsule|Pms-Topiramate 50 mg Tablet|Co Topiramate 25 mg Tablet|Mylan-Topiramate 25 mg Tablet|Novo-Topiramate 25 mg Tablet|Phl-Topiramate 25 mg Tablet|Pms-Topiramate 25 mg Tablet|Ratio-Topiramate 25 mg Tablet|Sandoz Topiramate 25 mg Tablet"
Cefmetazole,"(6R,7S)-7-({[(cyanomethyl)sulfanyl]acetyl}amino)-7-methoxy-3-{[(1-methyl-1H-tetrazol-5-yl)sulfanyl]methyl}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefmetazole | Cefmetazolo | Cefmetazolum"
Olmesartan,"4-(1-hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid | 4-(hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)-1,1'-biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid | Olmesartan|Benicar 5 mg tablet|Benicar hct 40-25 mg tablet|Benicar hct 40-12.5 mg tablet|Benicar hct 20-12.5 mg tablet|Benicar 40 mg tablet|Benicar 20 mg tablet|Olmetec 20 mg Tablet|Olmetec 40 mg Tablet"
Amsacrine,4'-(9-Acridinylamino)-3'-methoxymethanesulfonanilide | 4'-(9-Acridinylamino)methanesulfon-m-anisidide | 4'-(9-Acridinylamino)methanesulfon-meta-anisidide | 4'-(9-Acridinylamino)methanesulphon-m-anisidide | Acridinyl anisidide | Amsacrina | Amsacrine | Amsacrinum | m-AMSA | mAMSA
Theophylline,"1,3-dimethyl-7H-purine-2,6-dione | 1,3-dimethylxanthine | Teofilina | Theophyllin | Theophylline anhydrous | Theophylline, anhydrous|Elixophyllin GG 100-100 mg 15ml Solution 240ml Bottle|Uniphyl 600 mg 24 Hour tablet|Theo-24 400 mg 24 Hour Capsule|Theo-24 400 mg capsule sa|Uniphyl 400 mg 24 Hour tablet|Theo-24 300 mg 24 Hour Capsule|Theo-24 300 mg capsule sa|Theophylline 400 mg 24 Hour tablet|Theo-24 200 mg 24 Hour Capsule|Theo-24 200 mg capsule sa|Theochron 450 mg tablet sa|Theophylline CR 300 mg 12 Hour Capsule|Theo-24 100 mg 24 Hour Capsule|Theophylline CR 200 mg 12 Hour Capsule|Theophylline CR 450 mg 12 Hour tablet|Theo-24 100 mg capsule sa|Quibron 90-150 mg capsule|Theophylline CR 125 mg 12 Hour Capsule|Uniphyl 600 mg Sustained-Release Tablet|Uniphyl 400 mg Sustained-Release Tablet|Theochron 300 mg tablet sa|Theophylline CR 300 mg 12 Hour tablet|Theophylline CR 200 mg 12 Hour tablet|Theochron 200 mg tablet sa|Theophylline CR 100 mg 12 Hour tablet|Elixophyllin GG 100-100 mg 15ml Solution|Theochron 100 mg tablet sa|Elixophyllin 80 mg 15ml Elixir|Elixophyllin 80 mg 15 ml elix|Apo-Theo La 300 mg Sustained-Release Tablet|Apo-Theo La 100 mg Sustained-Release Tablet|Apo-Theo La 200 mg Sustained-Release Tablet|Theophylline anhydrous powder|Theophylline 200 mg 100 ml d5w|Theolair 5.3 mg ml Liquid"
Argatroban,Argatroban | Argatroban anhydrous|Argatroban 100 mg ml Solution 2.5ml Vial|Argatroban 100 mg ml vial
Liothyronine,"3,3',5-triiodo-L-thyronine | 3,5,3'-Triiodo-L-thyronine | 3,5,3'-Triiodothyronine | 4-(4-hydroxy-3-iodophenoxy)-3,5-diiodo-L-phenylalanine | L-3,5,3'-Triiodothyronine | L-T3 | Liothyronine | Liothyroninum | Liotironina | O-(4-hydroxy-3-iodophenyl)-3,5-diiodo-L-tyrosine | T3 | Triiodothyronine|Triostat 10 mcg ml vial|Cytomel 50 mcg tablet|Liothyronine Sodium 50 mcg tablet|Liothyronine sod 50 mcg tablet|Cytomel 25 mcg tablet|Cytomel 25 mcg Tablet|Cytomel 5 mcg Tablet|Liothyronine Sodium 25 mcg tablet|Liothyronine sod 25 mcg tablet|Cytomel 5 mcg tablet|Liothyronine Sodium 5 mcg tablet|Liothyronine sod 5 mcg tablet"
Disopyramide,Disopiramida | Disopyramide | Disopyramidum|Norpace CR 150 mg 12 Hour Capsule|Norpace cr 150 mg capsule|Norpace CR 100 mg 12 Hour Capsule|Norpace 150 mg capsule|Norpace cr 100 mg capsule|Norpace 100 mg capsule|Disopyramide Phosphate 150 mg capsule|Disopyramide 150 mg capsule|Disopyramide Phosphate 100 mg capsule|Disopyramide 100 mg capsule|Rythmodan 150 mg Capsule|Rythmodan 100 mg Capsule
Lidocaine,"2-(Diethylamino)-2',6'-acetoxylidide | 2-(Diethylamino)-N-(2,6-dimethylphenyl)acetamide | alpha-diethylamino-2,6-dimethylacetanilide | Lidocaina | Lidocaina | Lidocaine | Lidocainum | Lignocaine | a-diethylamino-2,6-dimethylacetanilide|Rocephin 10 gm vial|Lidocaine HCl 3% Lotion 177ml Bottle|Rocephin 2 gm vial|Rocephin 1 gm vial|EMLA 2.5-2.5% Cream 30 gm Tube|Lidocaine-Prilocaine 2.5-2.5% Cream 30 gm Tube|Lidocaine HCl 2% Gel 10ml Syringe|Lidocaine HCl 2% Gel 30ml Tube|Lidocaine HCl 4% Solution 50ml Bottle|Lidocaine Viscous 2% Solution 100ml Bottle|Lidocaine hcl 1% syringe|Lidocaine HCl 4% Solution 4ml Bottle|Lidoderm 1 Box = 30 Patches|Akten 3.5% drops|Lidocaine 5% in d7.5w ampul|Lidocaine 3% cream|Lidamantle 3% cream|Zilactin-l cold sore liquid|Xylocaine 2% jelly|Lidocaine hcl 10% vial|Xylocaine 5% ointment|Xylocaine Jelly 2 % Jelly|Xylocaine 2% Solution|Xylocaine 5 % Ointment|Lidocaine HCl 1% Solution|Lidocaine hcl powder|Lidocaine base powder|Lidocaine hcl 4% solution|Xylocaine 0.5% vial|Lidodan 5 % Ointment|Xylocaine Viscous 2 % Liquid|Lidocaine hcl 0.5% vial|Solarcaine aerosol|Lidodan Viscous 2 % Liquid|Lidocaine 2% viscous solution"
Pamidronic acid,Acide pamidronique | Acido pamidronico | Acidum pamidronicum | Pamidronate | Pamidronic acid|Aredia 90 mg vial|Pamidronate disod 90 mg vial|Aredia 90 mg vial|Aredia 30 mg vial|Pamidronate Disodium 90 mg vial|Pamidronate Disodium Omega 90 mg vial|Pms-Pamidronate 90 mg vial|Aredia 30 mg vial|Pamidronate Disodium 60 mg vial|Pamidronate disod 30 mg vial|Pamidronate Disodium 30 mg vial|Pamidronate Disodium Omega 30 mg vial
Clemastine,(+)-(2R)-2-(2-(((R)-p-chloro-a-methyl-a-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine | (+)-(2R)-2-[2-[[(R)-p-chloro-a-methyl-a-phenylbenzyl]oxy]ethyl]-1-methylpyrrolidine | Clemastina | Clemastine | Clemastinum|Clemastine fumarate powder|Clemastine Fumarate 0.67 mg 5ml Syrup 120ml Bottle|Clemastine Fumarate 2.68 mg tablet|Clemastine fum 2.68 mg tablet|Tavist nd 10 mg tablet|Clemastine fum 1.34 mg tablet|Tavist-1 1.34 mg tablet|Clemastine Fumarate 1.34 mg tablet|Dayhist tablet|CVS Pharmacy dayhist allergy tablet|Dayhist-1 1.34 mg tablet|Tavist max-str sinus caplet
Acarbose,Acarbosa | Acarbose | Acarbosum|Acarbose 100 100 mg tablet Bottle|Acarbose 100 50 mg tablet Bottle|Acarbose 100 25 mg tablet Bottle|Precose 100 mg tablet|Acarbose 100 mg tablet|Precose 50 mg tablet|Precose 25 mg tablet|Acarbose 25 mg tablet|Acarbose 50 mg tablet|Glucobay 100 mg Tablet|Glucobay 50 mg Tablet
Venlafaxine,Venlafaxina | Venlafaxine | Venlafaxinum|Venlafaxine HCl 30 225 mg 24 Hour tablet Bottle|Effexor XR 30 37.5 mg 24 Hour Capsule Bottle|Venlafaxine HCl 30 37.5 mg 24 Hour tablet Bottle|Effexor 30 75 mg tablet Bottle|Effexor 30 25 mg tablet Bottle|Effexor XR 150 mg 24 Hour Capsule|Effexor xr 150 mg capsule|Effexor XR 75 mg 24 Hour Capsule|Effexor xr 75 mg capsule|Venlafaxine HCl 150 mg 24 Hour tablet|Effexor xr 37.5 mg capsule|Venlafaxine HCl 75 mg 24 Hour tablet|Effexor 100 mg tablet|Effexor 75 mg tablet|Effexor 50 mg tablet|Effexor 37.5 mg tablet|Effexor 25 mg tablet|Venlafaxine hcl 100 mg tablet|Venlafaxine hcl 75 mg tablet|Effexor Xr 150 mg Extended-Release Capsule|Venlafaxine hcl 50 mg tablet|Effexor Xr 75 mg Extended-Release Capsule|Venlafaxine hcl 37.5 mg tablet|Venlafaxine hcl 25 mg tablet|Apo-Venlafaxine Xr 150 mg Extended-Release Capsule|Co Venlafaxine Xr 150 mg Extended-Release Capsule|Mylan-Venlafaxine Xr 150 mg Extended-Release Capsule|Novo-Venlafaxine Xr 150 mg Extended-Release Capsule|Pms-Venlafaxine Xr 150 mg Extended-Release Capsule|Ratio-Venlafaxine Xr 150 mg Extended-Release Capsule|Sandoz Venlafaxine Xr 150 mg Extended-Release Capsule|Apo-Venlafaxine Xr 75 mg Extended-Release Capsule|Co Venlafaxine Xr 75 mg Extended-Release Capsule|Mylan-Venlafaxine Xr 75 mg Extended-Release Capsule|Novo-Venlafaxine Xr 75 mg Extended-Release Capsule|Pms-Venlafaxine Xr 75 mg Extended-Release Capsule|Ratio-Venlafaxine Xr 75 mg Extended-Release Capsule|Sandoz Venlafaxine Xr 75 mg Extended-Release Capsule|Effexor Xr 37.5 mg Extended-Release Capsule|Apo-Venlafaxine Xr 37.5 mg Extended-Release Capsule|Co Venlafaxine Xr 37.5 mg Extended-Release Capsule|Mylan-Venlafaxine Xr 37.5 mg Extended-Release Capsule|Novo-Venlafaxine Xr 37.5 mg Extended-Release Capsule|Pms-Venlafaxine Xr 37.5 mg Extended-Release Capsule|Ratio-Venlafaxine Xr 37.5 mg Extended-Release Capsule|Sandoz Venlafaxine Xr 37.5 mg Extended-Release Capsule
Conjugated estrogens,"Conjugated equine estrogens | Conjugated estrogens | Estrogens, Conjugated | Estrogens,conjugated|Premarin 0.625 mg gm Cream 42.5 gm Tube|Premarin 25 mg vial|Premphase 28 0.625-5 mg tablet Disp Pack|Premarin vaginal cream-appl|Prempro 0.3 mg-1.5 mg tablet|Prempro 0.45-1.5 mg tablet|Prempro 0.625-2.5 mg tablet|Prempro 0.625-5 mg tablet|Premarin 0.45 mg tablet|Premarin 0.9 mg tablet|Premarin 2.5 mg tablet|Premarin 2.5 mg Tabs|Premarin 0.3 mg tablet|Premarin 0.625 mg tablet|Premarin 1.25 mg tablet|Premarin 0.625 mg g Cream|C.E.S. 0.625 mg Tablet"
Travoprost,"isopropyl (Z)-7-((1R,2R,3R,5S)-3,5-dihydroxy-2-{(1E,3R)-3-hydroxy-4-[(a,a,a-trifluoro-m-tolyl)oxy]-1-butenyl}cyclopentyl)-5-heptenoate | Travoprost | Travoprostum|Travatan 0.004% Solution 5ml Bottle|Travatan Z 0.004% Solution 5ml Bottle|Travatan 0.004% Solution 2.5ml Bottle|Travatan Z 0.004% Solution 2.5ml Bottle|Travatan 0.004% eye drop|Travatan z 0.004% eye drop|Travatan 0.004 % Solution|Travatan Z 0.004 % Solution"
Amcinonide,Amcinonida | Amcinonide | Amcinonidum | Triamcinolonacetatcyclopentanonid|Amcinonide 0.1% Cream 60 gm Tube|Amcinonide 0.1% Ointment 60 gm Tube|Amcinonide 0.1% Cream 30 gm Tube|Amcinonide 0.1% Cream 15 gm Tube|Amcinonide 0.1% cream|Cyclocort 0.1 % Cream|Cyclocort 0.1 % Ointment|Cyclocort 0.1 % Lotion|Ratio-Amcinonide 0.1 % Ointment|Ratio-Amcinonide 0.1 % Cream|Taro-Amcinonide 0.1 % Cream|Ratio-Amcinonide 0.1 % Lotion
Atomoxetine,(-)-Tomoxetine | Atomoxetina | Atomoxetine | Tomoxetina | Tomoxetine | Tomoxetinum|Strattera 80 mg capsule|Strattera 100 mg capsule|Strattera 40 mg capsule|Strattera 60 mg capsule|Strattera 18 mg capsule|Strattera 25 mg capsule|Strattera 10 mg capsule
Bleomycin,Bleocin | Bleomicin | Bleomicina | Bleomycin | Bleomycine | Bleomycinum|Blenoxane 30 unit vial|Blenoxane 15 unit vial|Bleomycin sulfate 30 unit vial|Bleomycin sulfate 15 unit vial
